bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
redlegion_test_unique_bounty,25,spaceCommander,Michael,Cooper,aggressive,The Crimson Defectors,Crimson Tears,MALE,pirates,graphics/portraits/portrait_pirate03.png,"""I've seen what Lady Crimson really is - just another AI. The real woman I knew died out there on the rim and that... thing! It took her place. Well now they've sent you to take me out and keep things under control. Figures an old war dog would be run down by some eager pooch. Well come on then! Show me if you've got some new trick, because I've seen a hundred campaigns, kid!""",FALSE,redlegion,250000,15,"Not all is well in the Red Legion. One of her famed Crimson Guard have turned on the Lady. Lady Crimson's agents have finally tracked the infamous Crimson Guard deserter and traitor, Michael Cooper, to his hideout in a deserted system. You will be paid handsomely for removing this problem for us. Don't underestimate him.",heron_Strike,"apogee_Balanced, eagle_Assault, gryphon_FS, falcon_p_Strike, falcon_CS, hammerhead_Balanced, hammerhead_Balanced, sunder_CS, sunder_CS",150,1.1,1,,,FALSE,FALSE,206,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# captainPersonality : must match a value from Personalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : text what goes in the intel panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# minimumFleetFP : random faction ships will be added to fleet until its FP passes this number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# playerFPScalingFactor : random faction ships will be added to fleet until its FP passes the player fleet FP multiplied by this number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# chanceToAutoRecover : fractional chance to automatically recover with maximum D-mods. Does NOT affect standard recovery chance. Optional: default 1 aka 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# specialItemsList : comma seperated list of special item ids dropped by fleet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnUnlessBountiesCompleted : comma seperated list of unique bounty IDs required to be in 'spent bounties' list before bounty will spawn. Will account for bounties which have been manually deactivated via script as well as those are 'spent' to remove them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionHostile : if TRUE never spawn when player is hostile to issuing faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionNonHostile: if TRUE never spawn when player is friendly or neutral to target faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeCycle : if over 206 never spawn before said cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeLevel : if over 1 never spawn when player is below said character level,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeFleetPoints : if over 1 never spawn when player fleet is less than said fleet points,,,,,,,,,,,,,,,,,,,,,,,,,,,,
